中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,224 ms,42 Mbps,5502 kB/s
155.248.187.211,443,155.248.187.211,JP,Tokyo,中转,157 ms,45 Mbps,5765 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,176 ms,0 Mbps,59 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,254 ms,33 Mbps,4279 kB/s
8.222.162.45,443,47.245.125.52,SG,Singapore,隧道,264 ms,86 Mbps,11059 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,134 ms,130 Mbps,16691 kB/s
8.219.71.186,443,8.219.96.61,SG,Singapore,隧道,179 ms,88 Mbps,11264 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,163 ms,0 Mbps,74 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,281 ms,42 Mbps,5385 kB/s
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,284 ms,33 Mbps,4235 kB/s
8.222.204.94,443,47.236.51.143,SG,Singapore,隧道,180 ms,82 Mbps,10547 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,136 ms,128 Mbps,16486 kB/s
130.162.165.237,443,2606:f240:f00:2be4:0:ca7f:aec8:ce1d,US,Frankfurt,隧道,149 ms,111 Mbps,14233 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,154 ms,103 Mbps,13209 kB/s
138.2.139.13,443,98.98.166.174,US,Frankfurt,隧道,275 ms,109 Mbps,14028 kB/s
129.154.60.48,443,129.154.60.48,KR,Seoul,中转,132 ms,120 Mbps,15360 kB/s
47.245.122.14,443,8.222.222.65,SG,Singapore,隧道,180 ms,69 Mbps,8869 kB/s
8.219.178.191,443,47.236.51.143,SG,Singapore,隧道,251 ms,78 Mbps,9996 kB/s
131.186.62.248,443,131.186.62.248,JP,Tokyo,中转,160 ms,106 Mbps,13619 kB/s
47.91.18.127,443,47.91.18.127,JP,Tokyo,中转,110 ms,0 Mbps,110 kB/s
152.70.61.98,443,2a0b:21c0:1007:ca:0:c97d:578f:3967,DE,Frankfurt,隧道,143 ms,132 Mbps,16998 kB/s
193.123.81.105,443,193.123.81.105,AE,Paris,中转,238 ms,34 Mbps,4374 kB/s
8.219.59.1,443,47.245.125.52,SG,Singapore,隧道,176 ms,91 Mbps,11673 kB/s
150.230.249.48,443,150.230.249.48,KR,Seoul,中转,132 ms,131 Mbps,16793 kB/s
8.219.66.176,443,8.222.236.107,SG,Singapore,隧道,175 ms,73 Mbps,9412 kB/s
8.222.186.125,443,47.236.1.53,SG,Singapore,隧道,176 ms,46 Mbps,5999 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,160 ms,40 Mbps,5186 kB/s
158.101.141.78,443,158.101.141.78,JP,Tokyo,中转,156 ms,22 Mbps,2904 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,162 ms,107 Mbps,13721 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,151 ms,5 Mbps,689 kB/s
8.222.247.253,443,8.222.210.246,SG,Singapore,隧道,226 ms,88 Mbps,11264 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,135 ms,49 Mbps,6355 kB/s
